"","RMSE","method","number"
"1",3.42558679100713,"a.PKR1","50"
"2",3.91379594772556,"a.PKR1","50"
"3",3.23538929193909,"a.PKR1","50"
"4",3.13603369798952,"a.PKR1","50"
"5",2.62348796847787,"a.PKR1","50"
"6",3.538398816352,"a.PKR1","50"
"7",2.96231946142582,"a.PKR1","50"
"8",2.86964676926956,"a.PKR1","50"
"9",2.83451803884403,"a.PKR1","50"
"10",3.04410826835639,"a.PKR1","50"
"11",2.78592880576713,"a.PKR1","50"
"12",2.6793049649534,"a.PKR1","50"
"13",2.98299520804048,"a.PKR1","50"
"14",2.8662499514165,"a.PKR1","50"
"15",3.2231085752195,"a.PKR1","50"
"16",4.2778008102364,"a.PKR1","50"
"17",2.75014456473165,"a.PKR1","50"
"18",3.2092854178976,"a.PKR1","50"
"19",3.8436941652419,"a.PKR1","50"
"20",4.1539014698247,"a.PKR1","50"
"21",3.05582064682055,"a.PKR1","50"
"22",2.8973812347942,"a.PKR1","50"
"23",2.77185775514927,"a.PKR1","50"
"24",2.95410726830781,"a.PKR1","50"
"25",2.92902149661801,"a.PKR1","50"
"26",3.30585088565615,"a.PKR1","50"
"27",2.92089421186741,"a.PKR1","50"
"28",2.92310327083661,"a.PKR1","50"
"29",3.5635384958757,"a.PKR1","50"
"30",2.82895150163459,"a.PKR1","50"
"31",3.45738250967462,"a.PKR1","50"
"32",3.02815053775238,"a.PKR1","50"
"33",2.93941505851317,"a.PKR1","50"
"34",2.6328815868116,"a.PKR1","50"
"35",3.2940938278482,"a.PKR1","50"
"36",3.20467292001161,"a.PKR1","50"
"37",3.66871048500312,"a.PKR1","50"
"38",2.74851213958359,"a.PKR1","50"
"39",2.87065916468776,"a.PKR1","50"
"40",3.67909162025748,"a.PKR1","50"
"41",2.81296871300898,"a.PKR1","50"
"42",2.6554069595532,"a.PKR1","50"
"43",3.04983724048029,"a.PKR1","50"
"44",2.98756028523901,"a.PKR1","50"
"45",2.63623178341611,"a.PKR1","50"
"46",2.34937331048888,"a.PKR1","50"
"47",3.57146218828257,"a.PKR1","50"
"48",3.30699386052075,"a.PKR1","50"
"49",2.95317398384329,"a.PKR1","50"
"50",2.60590259254613,"a.PKR1","50"
"51",2.96625930958565,"a.PKR1","50"
"52",2.43543336712733,"a.PKR1","50"
"53",2.7433614699274,"a.PKR1","50"
"54",2.7969045034266,"a.PKR1","50"
"55",3.31347761027879,"a.PKR1","50"
"56",2.73068832325502,"a.PKR1","50"
"57",3.14684816203086,"a.PKR1","50"
"58",3.55079454231584,"a.PKR1","50"
"59",2.97947204247332,"a.PKR1","50"
"60",2.83821655189012,"a.PKR1","50"
"61",3.60584642768812,"a.PKR1","50"
"62",3.12249654847467,"a.PKR1","50"
"63",2.4694541660578,"a.PKR1","50"
"64",3.12089745164874,"a.PKR1","50"
"65",2.82450084114129,"a.PKR1","50"
"66",2.80006096422765,"a.PKR1","50"
"67",2.97723605068705,"a.PKR1","50"
"68",3.1272887529382,"a.PKR1","50"
"69",3.20980221832526,"a.PKR1","50"
"70",2.68071851744241,"a.PKR1","50"
"71",2.745954147882,"a.PKR1","50"
"72",3.30392922727597,"a.PKR1","50"
"73",2.60851846999992,"a.PKR1","50"
"74",2.59291850815659,"a.PKR1","50"
"75",3.00880715920649,"a.PKR1","50"
"76",3.08196891750689,"a.PKR1","50"
"77",2.74996965964942,"a.PKR1","50"
"78",2.48965737131128,"a.PKR1","50"
"79",3.44523569391013,"a.PKR1","50"
"80",3.11138223106722,"a.PKR1","50"
"81",2.56452771864094,"a.PKR1","50"
"82",3.13973945829515,"a.PKR1","50"
"83",2.97806332690092,"a.PKR1","50"
"84",2.66144990727551,"a.PKR1","50"
"85",3.07407786921806,"a.PKR1","50"
"86",2.76319434914964,"a.PKR1","50"
"87",3.03071556158218,"a.PKR1","50"
"88",3.03038041957788,"a.PKR1","50"
"89",2.9330240502843,"a.PKR1","50"
"90",2.65830782390668,"a.PKR1","50"
"91",3.12890841743845,"a.PKR1","50"
"92",3.21199452766832,"a.PKR1","50"
"93",3.41238099236503,"a.PKR1","50"
"94",2.79981923035637,"a.PKR1","50"
"95",2.72679914695519,"a.PKR1","50"
"96",2.90893406258892,"a.PKR1","50"
"97",2.53250575395694,"a.PKR1","50"
"98",2.59648090327974,"a.PKR1","50"
"99",3.01906149711903,"a.PKR1","50"
"100",2.90759335741462,"a.PKR1","50"
"101",2.18074421412681,"i.PKR2","50"
"102",2.9774335760822,"i.PKR2","50"
"103",2.63574472847499,"i.PKR2","50"
"104",2.32478253933404,"i.PKR2","50"
"105",1.78553680339295,"i.PKR2","50"
"106",2.74173036810708,"i.PKR2","50"
"107",2.14580937197748,"i.PKR2","50"
"108",2.07664718774401,"i.PKR2","50"
"109",2.22243461217469,"i.PKR2","50"
"110",2.03858540643695,"i.PKR2","50"
"111",2.20263900163576,"i.PKR2","50"
"112",2.02693818458525,"i.PKR2","50"
"113",1.92559896696989,"i.PKR2","50"
"114",1.86387732164006,"i.PKR2","50"
"115",2.18412500257578,"i.PKR2","50"
"116",2.55890767553853,"i.PKR2","50"
"117",2.03621975393147,"i.PKR2","50"
"118",2.35301026379875,"i.PKR2","50"
"119",3.10263075566195,"i.PKR2","50"
"120",3.20816448147372,"i.PKR2","50"
"121",2.34838084929213,"i.PKR2","50"
"122",2.36822690441557,"i.PKR2","50"
"123",1.97636991350303,"i.PKR2","50"
"124",2.09076569109385,"i.PKR2","50"
"125",2.10187985493725,"i.PKR2","50"
"126",2.24603237618389,"i.PKR2","50"
"127",2.1451431974587,"i.PKR2","50"
"128",2.26736703235989,"i.PKR2","50"
"129",2.80589348205389,"i.PKR2","50"
"130",1.92934534991049,"i.PKR2","50"
"131",2.5764324286481,"i.PKR2","50"
"132",2.30611823791363,"i.PKR2","50"
"133",2.01382859797582,"i.PKR2","50"
"134",1.92814056834733,"i.PKR2","50"
"135",2.78527683062769,"i.PKR2","50"
"136",2.68418558152913,"i.PKR2","50"
"137",3.03746610100492,"i.PKR2","50"
"138",1.98438981306257,"i.PKR2","50"
"139",2.01155339358314,"i.PKR2","50"
"140",2.32766155140663,"i.PKR2","50"
"141",1.77298194877803,"i.PKR2","50"
"142",2.02320381183413,"i.PKR2","50"
"143",2.15207637739053,"i.PKR2","50"
"144",2.37680121887205,"i.PKR2","50"
"145",2.41333445888998,"i.PKR2","50"
"146",2.05180864670608,"i.PKR2","50"
"147",3.00951774056545,"i.PKR2","50"
"148",2.31192769538987,"i.PKR2","50"
"149",2.09171638376805,"i.PKR2","50"
"150",1.75305384754972,"i.PKR2","50"
"151",2.03712779094504,"i.PKR2","50"
"152",1.80168783703747,"i.PKR2","50"
"153",2.02384334934416,"i.PKR2","50"
"154",2.2261520373685,"i.PKR2","50"
"155",2.34158562598298,"i.PKR2","50"
"156",1.9771548513163,"i.PKR2","50"
"157",2.3718307308819,"i.PKR2","50"
"158",2.98585833936772,"i.PKR2","50"
"159",2.03064276805326,"i.PKR2","50"
"160",1.79981475402154,"i.PKR2","50"
"161",3.07511156423619,"i.PKR2","50"
"162",2.10062783227874,"i.PKR2","50"
"163",2.0571672108475,"i.PKR2","50"
"164",2.2398509602025,"i.PKR2","50"
"165",1.94807371052906,"i.PKR2","50"
"166",1.75777129309592,"i.PKR2","50"
"167",2.40535001916258,"i.PKR2","50"
"168",2.60947537875204,"i.PKR2","50"
"169",2.54313085949322,"i.PKR2","50"
"170",1.87828441407253,"i.PKR2","50"
"171",1.9614996186268,"i.PKR2","50"
"172",2.26340549329844,"i.PKR2","50"
"173",1.95004347883794,"i.PKR2","50"
"174",1.85832546454958,"i.PKR2","50"
"175",2.13192036509004,"i.PKR2","50"
"176",1.91607298579643,"i.PKR2","50"
"177",1.93716344504197,"i.PKR2","50"
"178",1.95228171147449,"i.PKR2","50"
"179",2.7069359741516,"i.PKR2","50"
"180",2.40639379469536,"i.PKR2","50"
"181",1.791165851224,"i.PKR2","50"
"182",2.41262879883814,"i.PKR2","50"
"183",1.92821565187085,"i.PKR2","50"
"184",1.89757821692838,"i.PKR2","50"
"185",2.30681702592538,"i.PKR2","50"
"186",2.03264947652326,"i.PKR2","50"
"187",2.21505118623171,"i.PKR2","50"
"188",2.13364122095057,"i.PKR2","50"
"189",1.8669457499568,"i.PKR2","50"
"190",1.97233569283035,"i.PKR2","50"
"191",2.22417087448003,"i.PKR2","50"
"192",2.39170748798857,"i.PKR2","50"
"193",2.60966381281314,"i.PKR2","50"
"194",2.07563537641577,"i.PKR2","50"
"195",1.92370765291772,"i.PKR2","50"
"196",2.09398309719252,"i.PKR2","50"
"197",1.72794345622295,"i.PKR2","50"
"198",1.91892127773818,"i.PKR2","50"
"199",2.16050058148699,"i.PKR2","50"
"200",2.35329324228162,"i.PKR2","50"
"201",3.06769285081227,"e.GKR1","50"
"202",2.96653565771092,"e.GKR1","50"
"203",2.57459495767123,"e.GKR1","50"
"204",2.68594459478203,"e.GKR1","50"
"205",2.53108042909256,"e.GKR1","50"
"206",2.68508528400542,"e.GKR1","50"
"207",2.72818093355802,"e.GKR1","50"
"208",2.72089517735792,"e.GKR1","50"
"209",2.49796713685068,"e.GKR1","50"
"210",2.58818739191986,"e.GKR1","50"
"211",2.56581364925297,"e.GKR1","50"
"212",2.56410152919732,"e.GKR1","50"
"213",2.78915157593319,"e.GKR1","50"
"214",2.80992493683421,"e.GKR1","50"
"215",2.88838994116865,"e.GKR1","50"
"216",2.35432721433999,"e.GKR1","50"
"217",2.39632010534126,"e.GKR1","50"
"218",2.59437784762913,"e.GKR1","50"
"219",2.72864287669073,"e.GKR1","50"
"220",2.86888623384717,"e.GKR1","50"
"221",2.78694167175156,"e.GKR1","50"
"222",2.53598532757098,"e.GKR1","50"
"223",2.76576417722071,"e.GKR1","50"
"224",2.75894522767096,"e.GKR1","50"
"225",2.72844116248514,"e.GKR1","50"
"226",2.82487456122149,"e.GKR1","50"
"227",2.52972040059014,"e.GKR1","50"
"228",2.66965750577988,"e.GKR1","50"
"229",2.77431014957565,"e.GKR1","50"
"230",2.66434485458832,"e.GKR1","50"
"231",2.8863591599375,"e.GKR1","50"
"232",2.55084947121421,"e.GKR1","50"
"233",2.57060725474271,"e.GKR1","50"
"234",2.36368740452393,"e.GKR1","50"
"235",2.617143025605,"e.GKR1","50"
"236",2.6439529284044,"e.GKR1","50"
"237",2.73747814448573,"e.GKR1","50"
"238",2.47961818333079,"e.GKR1","50"
"239",2.78806383470997,"e.GKR1","50"
"240",3.1787246331798,"e.GKR1","50"
"241",2.76675893359134,"e.GKR1","50"
"242",2.60771646841697,"e.GKR1","50"
"243",2.84202410425062,"e.GKR1","50"
"244",2.61868611145082,"e.GKR1","50"
"245",2.28840805121992,"e.GKR1","50"
"246",2.29956036459969,"e.GKR1","50"
"247",2.57142623300387,"e.GKR1","50"
"248",2.83783645661714,"e.GKR1","50"
"249",2.87299757633916,"e.GKR1","50"
"250",2.64887626013415,"e.GKR1","50"
"251",2.77908675600112,"e.GKR1","50"
"252",2.44504784409696,"e.GKR1","50"
"253",2.65353335593827,"e.GKR1","50"
"254",2.34037866856249,"e.GKR1","50"
"255",2.75795917883782,"e.GKR1","50"
"256",2.61384267108551,"e.GKR1","50"
"257",2.6441627493967,"e.GKR1","50"
"258",2.57044512424178,"e.GKR1","50"
"259",2.63854227899497,"e.GKR1","50"
"260",2.74254976038359,"e.GKR1","50"
"261",2.71750436788406,"e.GKR1","50"
"262",2.7317289172156,"e.GKR1","50"
"263",2.36202102189007,"e.GKR1","50"
"264",2.80582119266027,"e.GKR1","50"
"265",2.84510624824307,"e.GKR1","50"
"266",2.60199089845018,"e.GKR1","50"
"267",2.49980478243952,"e.GKR1","50"
"268",2.5379547143136,"e.GKR1","50"
"269",2.43332169964185,"e.GKR1","50"
"270",2.63607901519071,"e.GKR1","50"
"271",2.75586762811972,"e.GKR1","50"
"272",3.02635759453366,"e.GKR1","50"
"273",2.60403580368441,"e.GKR1","50"
"274",2.56405351771788,"e.GKR1","50"
"275",2.7228548212942,"e.GKR1","50"
"276",2.96167080934903,"e.GKR1","50"
"277",2.71345422836508,"e.GKR1","50"
"278",2.43440479660205,"e.GKR1","50"
"279",2.6588495140787,"e.GKR1","50"
"280",2.37009366107432,"e.GKR1","50"
"281",2.44411772057483,"e.GKR1","50"
"282",2.71034853367806,"e.GKR1","50"
"283",2.62772517523099,"e.GKR1","50"
"284",2.67276494994433,"e.GKR1","50"
"285",2.7469740258178,"e.GKR1","50"
"286",2.5455889641031,"e.GKR1","50"
"287",2.64174629786886,"e.GKR1","50"
"288",2.77029041721871,"e.GKR1","50"
"289",2.83300451076903,"e.GKR1","50"
"290",2.44166680799273,"e.GKR1","50"
"291",2.61460543655559,"e.GKR1","50"
"292",2.55664897886213,"e.GKR1","50"
"293",2.72938216912305,"e.GKR1","50"
"294",2.64780077891587,"e.GKR1","50"
"295",2.55065533378839,"e.GKR1","50"
"296",2.48878389063357,"e.GKR1","50"
"297",2.45889468927968,"e.GKR1","50"
"298",2.46791476406445,"e.GKR1","50"
"299",2.66789476590455,"e.GKR1","50"
"300",2.52284205115915,"e.GKR1","50"
"301",2.11939378971654,"m.GKR2","50"
"302",2.09673353045992,"m.GKR2","50"
"303",2.01153132355963,"m.GKR2","50"
"304",1.97978820513279,"m.GKR2","50"
"305",2.01785068173188,"m.GKR2","50"
"306",2.05073385171316,"m.GKR2","50"
"307",2.06664824376932,"m.GKR2","50"
"308",2.02196793688123,"m.GKR2","50"
"309",2.0360180723988,"m.GKR2","50"
"310",2.06223162135736,"m.GKR2","50"
"311",2.01511455314833,"m.GKR2","50"
"312",2.06490487719345,"m.GKR2","50"
"313",2.02823679556302,"m.GKR2","50"
"314",2.00791824134341,"m.GKR2","50"
"315",2.0616459041705,"m.GKR2","50"
"316",1.99919722162912,"m.GKR2","50"
"317",1.92299864022007,"m.GKR2","50"
"318",1.96893215895991,"m.GKR2","50"
"319",1.96609317059246,"m.GKR2","50"
"320",2.03581658149504,"m.GKR2","50"
"321",2.03845734881077,"m.GKR2","50"
"322",2.00797367750041,"m.GKR2","50"
"323",2.03996692180399,"m.GKR2","50"
"324",2.02351565555998,"m.GKR2","50"
"325",2.04762334679551,"m.GKR2","50"
"326",2.06494293788813,"m.GKR2","50"
"327",1.97902459661043,"m.GKR2","50"
"328",1.98699093520728,"m.GKR2","50"
"329",2.04531123038897,"m.GKR2","50"
"330",2.00497671686443,"m.GKR2","50"
"331",2.06402714076324,"m.GKR2","50"
"332",1.94204484934243,"m.GKR2","50"
"333",1.96909263585203,"m.GKR2","50"
"334",1.95077648867892,"m.GKR2","50"
"335",2.04211622658618,"m.GKR2","50"
"336",2.02917442072109,"m.GKR2","50"
"337",2.03280389854111,"m.GKR2","50"
"338",1.97465645793434,"m.GKR2","50"
"339",1.98639412503816,"m.GKR2","50"
"340",2.0961874453103,"m.GKR2","50"
"341",2.03245385571667,"m.GKR2","50"
"342",2.02592588384656,"m.GKR2","50"
"343",2.03623059246959,"m.GKR2","50"
"344",1.96766580230614,"m.GKR2","50"
"345",2.03872688312666,"m.GKR2","50"
"346",2.03845014867569,"m.GKR2","50"
"347",1.97415848163535,"m.GKR2","50"
"348",2.04185935499185,"m.GKR2","50"
"349",2.07149089137574,"m.GKR2","50"
"350",1.9443863710668,"m.GKR2","50"
"351",2.02133480850559,"m.GKR2","50"
"352",1.96458259621472,"m.GKR2","50"
"353",2.00583820083903,"m.GKR2","50"
"354",1.97228783843255,"m.GKR2","50"
"355",2.032755183698,"m.GKR2","50"
"356",2.02353809087086,"m.GKR2","50"
"357",2.04847646474012,"m.GKR2","50"
"358",2.05610004638284,"m.GKR2","50"
"359",2.01037517967778,"m.GKR2","50"
"360",2.04737527445385,"m.GKR2","50"
"361",2.02911668811232,"m.GKR2","50"
"362",2.04346186486014,"m.GKR2","50"
"363",1.96306015981423,"m.GKR2","50"
"364",2.06779343946684,"m.GKR2","50"
"365",2.0469125551487,"m.GKR2","50"
"366",2.00202002209775,"m.GKR2","50"
"367",2.01835727173741,"m.GKR2","50"
"368",1.98005984192522,"m.GKR2","50"
"369",1.9841175417588,"m.GKR2","50"
"370",1.99063386456107,"m.GKR2","50"
"371",2.05852348495048,"m.GKR2","50"
"372",1.98545759184273,"m.GKR2","50"
"373",1.98582572508063,"m.GKR2","50"
"374",2.01150560812313,"m.GKR2","50"
"375",2.07882915861409,"m.GKR2","50"
"376",2.03900339742817,"m.GKR2","50"
"377",2.02453612536474,"m.GKR2","50"
"378",2.02227538043808,"m.GKR2","50"
"379",2.03136088468579,"m.GKR2","50"
