day,hemo,RBC,hetastarch
0,100,100,100
1,100,100,100
2,77,92,83
3,77,92,67
4,69,83,58
5,69,83,58
6,62,83,50
7,38,83,33
8,38,75,33
9,31,58,33
10,23,58,33
