"","RMSE","method","number"
"1",1.98985753643369,"a.PKR1","50"
"2",2.4961459916704,"a.PKR1","50"
"3",1.85884431941883,"a.PKR1","50"
"4",1.89378449989996,"a.PKR1","50"
"5",1.88565286772308,"a.PKR1","50"
"6",1.71357429508662,"a.PKR1","50"
"7",2.0354086845559,"a.PKR1","50"
"8",1.79306673134685,"a.PKR1","50"
"9",2.30225276359812,"a.PKR1","50"
"10",2.40306308197064,"a.PKR1","50"
"11",2.78554995081873,"a.PKR1","50"
"12",2.0728480131561,"a.PKR1","50"
"13",1.88673955418377,"a.PKR1","50"
"14",2.00507327362251,"a.PKR1","50"
"15",2.05305600581085,"a.PKR1","50"
"16",1.8387134232742,"a.PKR1","50"
"17",2.06018945751699,"a.PKR1","50"
"18",2.03682207906374,"a.PKR1","50"
"19",2.23532420527181,"a.PKR1","50"
"20",1.77433391699641,"a.PKR1","50"
"21",1.91613470039925,"a.PKR1","50"
"22",2.04766395437895,"a.PKR1","50"
"23",2.08584655805205,"a.PKR1","50"
"24",1.98956682150609,"a.PKR1","50"
"25",1.57623913702659,"a.PKR1","50"
"26",2.18924778234889,"a.PKR1","50"
"27",1.85633814263057,"a.PKR1","50"
"28",2.54504068220045,"a.PKR1","50"
"29",2.4711887287324,"a.PKR1","50"
"30",2.09917110231912,"a.PKR1","50"
"31",1.90396075689614,"a.PKR1","50"
"32",1.838085376605,"a.PKR1","50"
"33",2.23567205717359,"a.PKR1","50"
"34",1.95230440164752,"a.PKR1","50"
"35",3.10660844541486,"a.PKR1","50"
"36",1.94487813714383,"a.PKR1","50"
"37",1.83897513094657,"a.PKR1","50"
"38",2.02924874740887,"a.PKR1","50"
"39",1.91771522472081,"a.PKR1","50"
"40",1.71590173386617,"a.PKR1","50"
"41",2.06890775528057,"a.PKR1","50"
"42",1.75917048941406,"a.PKR1","50"
"43",2.57792706948968,"a.PKR1","50"
"44",1.85108589249437,"a.PKR1","50"
"45",2.30660227766768,"a.PKR1","50"
"46",2.15231241342562,"a.PKR1","50"
"47",1.9515282395507,"a.PKR1","50"
"48",2.49650706919645,"a.PKR1","50"
"49",1.77860174872238,"a.PKR1","50"
"50",3.15927786285631,"a.PKR1","50"
"51",2.09346063827158,"a.PKR1","50"
"52",1.98637601894921,"a.PKR1","50"
"53",2.63904908404826,"a.PKR1","50"
"54",2.14573047485745,"a.PKR1","50"
"55",2.00690837924587,"a.PKR1","50"
"56",3.21096577062338,"a.PKR1","50"
