외부기온,내부기온,내외부기온차,외부상대습도,내부상대습도,내외부상대습도차,외부CO2,내부CO2,내외부CO2차,외부풍속,외부일사량,환기율,환기창면적,작물유무,작물유무수치
24.9,35.2,10.4,39.5,26.6,12.9,526.5,580,53.5,3.379,733.7,3.324,0.09,no,0
24.5,34.6,10.1,39.2,26.3,12.9,513.5,590.5,77,2.455,624.6,2.537,0.09,no,0
24.7,34.8,10.1,40.8,27.5,13.3,533,586,53,2.74,536,2.775,0.09,no,0
25,35.1,10.1,39.2,25.6,13.6,516,577.5,61.5,3.389,782.7,3.328,0.09,no,0
23.8,32.7,8.9,40.6,27.6,13,525,590,65,4.537,437.4,4.317,0.09,no,0
23.2,30.7,7.5,40.5,28.8,11.7,522,595,73,3.776,328.7,3.618,0.09,no,0
23.7,31.6,7.9,41.6,30,11.6,509.5,583.5,74,3.78,559.5,3.629,0.09,no,0
23.8,32.5,8.7,41,27.4,13.6,513,577.5,64.5,4.139,720.2,3.96,0.09,no,0
24.4,33.8,9.5,40.6,27,13.6,514.5,584.5,70,3.494,698.9,3.407,0.09,no,0
25,35,10,38.5,24.9,13.6,515.5,578,62.5,3.636,757.2,3.54,0.09,no,0
25.1,35.7,10.6,39.3,25,14.3,533.5,571,37.5,3.795,769.5,3.689,0.09,no,0
25.4,36.6,11.2,36.9,23.7,13.2,507.5,585.5,78,3.154,795.2,3.148,0.09,no,0
25.5,36.8,11.3,36.4,22.7,13.7,524.5,595.5,71,4.033,740.8,3.909,0.09,no,0
24.9,35.7,10.8,38.5,24.3,14.2,534.5,580,45.5,3.626,605.5,3.546,0.09,no,0
24.9,36.5,11.6,38.9,24.2,14.7,528.5,579,50.5,3.411,709.2,3.375,0.09,no,0
25,36.7,11.7,37.7,22.7,15,513,574.5,61.5,4.187,744.7,4.052,0.09,no,0
25.4,36.3,11,36.2,22.9,13.3,523.5,566.5,43,4.386,653.6,4.215,0.09,no,0
25.7,37.6,11.9,36.6,22.9,13.7,535.5,568,32.5,2.723,725,2.801,0.09,no,0
25.4,37.2,11.9,36.3,22.3,14,525,582.5,57.5,3.182,696.6,3.185,0.09,no,0
25.5,36.8,11.4,37.2,22.3,14.9,544,589.5,45.5,3.988,678.4,3.871,0.09,no,0
25.4,36.7,11.3,36.8,23.8,13,517.5,595,77.5,3.717,656.9,3.634,0.09,no,0
24.9,36.9,12.1,37.1,22.9,14.2,525,585.5,60.5,3.024,638.2,3.056,0.09,no,0
25,37,12,37.7,22.7,15,525,587.5,62.5,3.11,616.6,3.128,0.09,no,0
25.3,36.7,11.4,37.6,22.8,14.8,539,575.5,36.5,2.808,590,2.86,0.09,no,0
25.3,35.7,10.5,36.7,22.9,13.8,512.5,573.5,61,3.998,565.2,3.865,0.09,no,0
24.9,35.1,10.2,38,23.9,14.1,510.5,582.5,72,3.822,538,3.705,0.09,no,0
25,34.6,9.6,37.6,24.1,13.5,531,571,40,3.113,508.4,3.08,0.09,no,0
24.8,33.9,9.1,38.1,24.6,13.5,504.5,584.5,80,4.482,472,4.272,0.09,no,0
24.7,33.3,8.6,37.9,25.4,12.5,519.5,575,55.5,4.248,451.1,4.056,0.09,no,0
24.4,32.9,8.5,38.9,25.8,13.1,518,584,66,4.078,422.7,3.903,0.09,no,0
24,32.2,8.3,40,26.6,13.4,526.5,575.5,49,3.783,372.9,3.638,0.09,no,0
23.8,31.2,7.5,41.1,28.1,13,517,576,59,3.453,332.1,3.332,0.09,no,0
23.3,30.2,6.9,40.1,28,12.1,507.5,583.5,76,3.979,324.5,3.788,0.09,no,0
23,29,6,40.5,29.3,11.2,512,578.5,66.5,4.288,306.2,4.05,0.09,no,0
22.6,28.2,5.7,42,30.9,11.1,528,569.5,41.5,4.255,265.9,4.015,0.09,no,0
21.9,27.2,5.3,42.4,31.4,11,522.5,577.5,55,3.472,227.1,3.306,0.09,no,0
21.4,26,4.6,43.2,32.9,10.3,527.5,592,64.5,3.387,187.2,3.218,0.09,no,0
19.5,26.5,7,65.9,55.1,10.8,553.5,597.5,44,0.21,377.1,0.984,0.09,no,0
20.5,28.2,7.7,63.5,51.1,12.4,538.5,593.5,55,1.058,409.3,1.405,0.09,no,0
21.1,29.3,8.2,53.2,44,9.2,543.5,586.5,43,1.143,443.5,1.481,0.09,no,0
22,30.5,8.5,53.4,40,13.4,518,605.5,87.5,1.48,485.7,1.728,0.09,no,0
22.8,31.5,8.7,51.1,38.7,12.4,528.5,594,65.5,0.825,473.9,1.311,0.09,no,0
23,31.7,8.7,48.1,35.1,13,524.5,598,73.5,1.883,536.6,2.039,0.09,no,0
23.2,32.4,9.2,46.3,33.8,12.5,513.5,593.5,80,1.965,559.7,2.118,0.09,no,0
23.7,33,9.3,44.5,32,12.5,531.5,581,49.5,2.896,584.4,2.888,0.09,no,0
24,33.6,9.6,43,30.8,12.2,518.5,604.5,86,2.741,566,2.764,0.09,no,0
24.4,33.9,9.5,42.5,29.5,13,531.5,587.5,56,2.514,621.8,2.571,0.09,no,0
24.5,34,9.5,41.2,28.3,12.9,519.5,587,67.5,3.017,682.5,2.995,0.09,no,0
24.5,34.4,9.9,42.2,28.9,13.3,528,577,49,2.495,643.3,2.564,0.09,no,0
24.7,34.5,9.9,40,27.4,12.6,530,579.5,49.5,2.965,591.4,2.959,0.09,no,0
25.4,36.1,10.7,40.6,26.9,13.7,517,594,77,2.738,752.2,2.786,0.09,no,0
25.5,36,10.5,40.1,26.5,13.6,536.5,599,62.5,3.575,697.2,3.495,0.09,no,0
25.4,36.1,10.7,39.7,25.8,13.9,513,597,84,3.038,713.3,3.038,0.09,no,0
25.9,36.8,10.9,39.1,25.3,13.8,517,582,65,2.468,770.4,2.567,0.09,no,0
26.5,37.5,11.1,38.7,24,14.7,521.5,592,70.5,4.502,788.7,4.318,0.09,no,0
25.9,37.7,11.8,38.6,24.2,14.4,525.5,583.5,58,3.607,747.6,3.547,0.09,no,0
25.9,37.1,11.2,37.6,23.2,14.4,528,590.5,62.5,3.856,693.4,3.753,0.09,no,0
25.1,35.4,10.4,38.5,23.9,14.6,528,599,71,3.705,601.1,3.607,0.09,no,0
25.6,35,9.5,39.5,26.1,13.4,533,588.5,55.5,4.745,524.5,4.511,0.09,no,0
25.1,34.3,9.3,39,25.9,13.1,524,589.5,65.5,4.633,613.3,4.409,0.09,no,0
24.7,33,8.4,41.1,27.6,13.5,525,589.5,64.5,4.523,464.2,4.297,0.09,no,0
25.1,33.9,8.8,40.6,26.4,14.2,525,577,52,3.444,514.1,3.35,0.09,no,0
24.8,33.1,8.4,40.3,27.5,12.8,528,585.5,57.5,3.548,499,3.432,0.09,no,0
24.1,31.6,7.5,42.4,29.1,13.3,537.5,586.5,49,4.144,360.8,3.945,0.09,no,0
24,30.9,6.9,42.7,30.5,12.2,520,588,68,4.477,408.4,4.233,0.09,no,0
24.5,31.7,7.2,41.3,30.1,11.2,513.5,579,65.5,3.937,513.4,3.756,0.09,no,0
24.7,32.5,7.8,40.6,28.1,12.5,520,587,67,4.074,521.8,3.888,0.09,no,0
24.9,33.8,8.9,39.7,27.4,12.3,518,594.5,76.5,3.137,621.1,3.085,0.09,no,0
25.1,34.4,9.4,39.2,26.3,12.9,516.5,584.5,68,3.847,659.3,3.714,0.09,no,0
25.1,35,9.9,39.6,25.8,13.8,509.5,571.5,62,4.276,676.7,4.1,0.09,no,0
25.7,35.9,10.2,39.5,25.4,14.1,520.5,584,63.5,3.314,702.8,3.263,0.09,no,0
25.5,35.7,10.2,38.9,25.1,13.8,525,587,62,3.826,563.5,3.709,0.09,no,0
24.8,34.2,9.5,39.6,25.3,14.3,524,600,76,3.868,490.1,3.734,0.09,no,0
24.8,33.7,9,39.5,26.4,13.1,527,581,54,3.748,563.2,3.619,0.09,no,0
24.2,33.1,8.9,40.4,26.5,13.9,515.5,588.5,73,3.895,477.9,3.749,0.09,no,0
24.3,32.8,8.6,40.4,27.4,13,520,590.5,70.5,4.171,479.6,3.987,0.09,no,0
24.1,32.1,8,40.7,27.3,13.4,539,606,67,3.673,453.9,3.537,0.09,no,0
23.4,30.4,7.1,42.4,29.5,12.9,522,590,68,4.363,300.7,4.135,0.09,no,0
23.4,30.5,7.1,42.8,30.4,12.4,517.5,593,75.5,3.224,371.1,3.124,0.09,no,0
23,29.7,6.7,45.2,31.3,13.9,525.5,588,62.5,2.827,297.1,2.769,0.09,no,0
22.5,28.4,6,45.6,32.8,12.8,530.5,589,58.5,2.543,228.8,2.505,0.09,no,0
22.4,27.5,5.2,45.2,33.8,11.4,530.5,585,54.5,3.051,241.2,2.93,0.09,no,0
22,26.3,4.4,46.2,35.5,10.7,524.5,582.5,58,3.225,148,3.067,0.09,no,0
22.1,25.9,3.9,46.9,36.8,10.1,513.5,588,74.5,2.381,157.9,2.308,0.09,no,0
21.9,25.4,3.5,45.9,36.9,9,533.5,585.5,52,2.912,178.3,2.769,0.09,no,0
21.8,25.1,3.3,46.9,38.4,8.5,515,588.5,73.5,3.038,143,2.877,0.09,no,0
16.8,24.1,7.3,45.1,38.2,6.9,543.5,499,44.5,1.576,409.4,3.004,0.15,no,0
17.2,24.7,7.5,42.5,34.5,8,543,497.5,45.5,1.707,442.7,3.164,0.15,no,0
17.6,25.5,7.9,42.9,34.4,8.5,522.5,475,47.5,1.342,476.5,2.807,0.15,no,0
18,26.2,8.2,41.2,32.4,8.8,543,477.5,65.5,1.802,505.7,3.327,0.15,no,0
17.9,25.8,7.9,37.2,28.7,8.5,520.5,482.5,38,2.583,536,4.25,0.15,no,0
18,25.7,7.7,37.4,28.7,8.7,529.5,476.5,53,3.66,564.9,5.664,0.15,no,0
18,26.1,8.1,35.8,30.1,5.7,527.5,469,58.5,3.171,592.1,5.026,0.15,no,0
18,25.8,7.8,38.6,29.1,9.5,522,485,37,3.242,616.5,5.107,0.15,no,0
18.3,26.2,7.9,37,27.1,9.9,526.5,481.5,45,3.313,640.1,5.207,0.15,no,0
18.3,26.9,8.6,36.1,27.3,8.8,534,468,66,3.618,664.5,5.647,0.15,no,0
19.1,27.5,8.4,35.6,27.6,8,526,474,52,3.266,686,5.169,0.15,no,0
19.7,28.4,8.7,35.5,26.3,9.2,510,486,24,3.351,703.4,5.294,0.15,no,0
20.3,29,8.7,35.1,25.7,9.4,528,474.5,53.5,3.113,718.4,4.979,0.15,no,0
20.6,29.1,8.5,33.2,23.5,9.7,529.5,493,36.5,3.503,733,5.488,0.15,no,0
20.7,28.2,7.5,33.4,24.2,9.2,536,493,43,4.336,746.8,6.579,0.15,no,0
20.7,28.2,7.5,33.8,23,10.8,525.5,485.5,40,3.762,759,5.79,0.15,no,0
21.1,28.4,7.4,34.2,22.7,11.5,538.5,490.5,48,3.932,768.6,6.017,0.15,no,0
21.4,28.9,7.5,32.8,22.8,10,515.5,480,35.5,3.751,777,5.773,0.15,no,0
21.6,29.4,7.8,33.6,23.2,10.4,526,482,44,3.823,783.5,5.887,0.15,no,0
22,29.4,7.4,31.5,22.7,8.8,520.5,483,37.5,3.899,791.7,5.973,0.15,no,0
21.9,29.3,7.4,31.9,22.4,9.5,524,490,34,4.226,794.4,6.42,0.15,no,0
22.5,30.5,8.1,32.2,23.8,8.4,525,482.5,42.5,2.794,788.1,4.528,0.15,no,0
23,31.4,8.4,31.2,21.4,9.8,511,477.5,33.5,2.873,786.4,4.648,0.15,no,0
23.3,32.1,8.8,31.8,22.1,9.7,531.5,481,50.5,3.462,784.6,5.439,0.15,no,0
23.8,32.5,8.7,30.7,21.4,9.3,519.5,473.5,46,2.869,778.1,4.659,0.15,no,0
23,31.7,8.7,31.1,21.1,10,515.5,492,23.5,4.173,769.6,6.4,0.15,no,0
23.4,32,8.6,32.6,21.7,10.9,521.5,481.5,40,4.065,763.3,6.248,0.15,no,0
23.9,31.9,8,30,21.1,8.9,521,485,36,3.3,753.5,5.187,0.15,no,0
24,31.1,7.2,30.7,21.5,9.2,520.5,492,28.5,4.436,744.3,6.702,0.15,no,0
24.2,31.3,7.2,30.4,21.8,8.6,511.5,495.5,16,4.084,728.7,6.214,0.15,no,0
23.9,31.5,7.6,31.6,21.9,9.7,516,487.5,28.5,3.933,713.5,6.025,0.15,no,0
23.9,31.5,7.7,30.5,21.1,9.4,526.5,490.5,36,3.967,697.3,6.075,0.15,no,0
23.9,31.4,7.5,30,21.5,8.5,538,494,44,3.742,677,5.758,0.15,no,0
24.1,31,7,30.8,21.5,9.3,535,489,46,3.77,655.8,5.773,0.15,no,0
24.3,31.6,7.3,28.8,21.5,7.3,537.5,476.5,61,3.871,634,5.925,0.15,no,0
24.1,31.4,7.3,29.1,21.3,7.8,530.5,489.5,41,3.002,611.5,4.752,0.15,no,0
23.8,31,7.2,30.7,21.1,9.6,530.5,482,48.5,2.61,584.4,4.236,0.15,no,0
23,30.6,7.6,31.3,21.2,10.1,527,469.5,57.5,3.303,556.5,5.172,0.15,no,0
23.5,30.9,7.4,31.1,21.9,9.2,529,490.5,38.5,2.911,533,4.643,0.15,no,0
22.8,29.8,7,32.3,22.1,10.2,515.5,504.5,11,2.98,503.8,4.71,0.15,no,0
22.8,29.7,6.9,30.8,21.7,9.1,519,495,24,3.348,470.8,5.199,0.15,no,0
23,29.1,6.2,31.6,23,8.6,525.5,497,28.5,3.41,437.1,5.247,0.15,no,0
22.4,28.7,6.3,33.1,23.3,9.8,534.5,487.5,47,2.98,406.3,4.673,0.15,no,0
22.2,28.7,6.5,32.8,24.2,8.6,527.5,498,29.5,3.1,372.3,4.842,0.15,no,0
22.3,27.8,5.5,33.7,24.3,9.4,512.5,490.5,22,2.911,335.3,4.539,0.15,no,0
22.3,27.3,5,34.9,25.9,9,532.5,497.5,35,3.116,305.9,4.788,0.15,no,0
22.2,26.4,4.2,33.3,25.8,7.5,534.5,506,28.5,2.473,269.9,3.872,0.15,no,0
21.9,25.5,3.6,33.8,26.8,7,534,498.5,35.5,2.65,236.3,4.072,0.15,no,0
21.2,24.5,3.3,35.2,28,7.2,507.5,508.5,1,3.353,183.9,5.028,0.15,no,0
18.1,25.4,7.3,54.3,44.1,10.2,562,504.5,57.5,1.196,404.4,2.607,0.15,no,0
18.2,25.5,7.3,54.4,40.9,13.5,533,516,17,1.023,436.3,2.449,0.15,no,0
18.5,26.7,8.2,52.4,39.4,13,544.5,492.5,52,1.395,468.9,2.887,0.15,no,0
18.5,27.2,8.7,52,38.8,13.2,544,503.5,40.5,1.731,493,3.285,0.15,no,0
19.1,27.9,8.8,51.9,36.8,15.1,552.5,497,55.5,1.076,521.6,2.645,0.15,no,0
19.5,28.7,9.3,49.6,35.4,14.2,554,503.5,50.5,1.181,549.5,2.776,0.15,no,0
19.7,29.6,9.9,49,33.5,15.5,543,493.5,49.5,1.156,575,2.811,0.15,no,0
19.8,30.4,10.7,46.1,33.5,12.6,530,492,38,1.234,601.3,2.949,0.15,no,0
20.9,31.2,10.3,48.8,31.6,17.2,547.5,491.5,56,0.72,621.6,2.528,0.15,no,0
21,31.3,10.3,46.1,31.1,15,561.5,489.5,72,0.759,639.3,2.548,0.15,no,0
21.3,31.9,10.6,44.3,28.7,15.6,535.5,485.5,50,0.85,662.3,2.631,0.15,no,0
22.1,32.9,10.9,42.5,28.3,14.2,549,488.5,60.5,0.79,681.8,2.621,0.15,no,0
21.8,33.5,11.7,42.5,27.5,15,532.5,484.5,48,1.218,699,3.017,0.15,no,0
22.3,33.8,11.5,43,26.6,16.4,537.5,478,59.5,0.97,716.1,2.804,0.15,no,0
23,34.3,11.3,40.8,26.6,14.2,533,492.5,40.5,1.208,731.3,2.971,0.15,no,0
23.1,34.6,11.5,40.1,25.3,14.8,543,493,50,1.511,744.1,3.258,0.15,no,0
23.5,34.7,11.2,39.6,25.6,14,537,482,55,1.27,755.1,3.015,0.15,no,0
23.8,35.1,11.3,39.5,25.1,14.4,536,481.5,54.5,1.418,764,3.156,0.15,no,0
24.1,35.3,11.3,39.9,24.9,15,537.5,493,44.5,1.735,768.4,3.47,0.15,no,0
24.1,35.5,11.4,39,23.6,15.4,527.5,487,40.5,1.38,772.3,3.125,0.15,no,0
24.3,35.9,11.6,37.9,22.9,15,530,480,50,1.477,777.1,3.235,0.15,no,0
24.2,36,11.9,35.6,23.2,12.4,526.5,492.5,34,1.212,779,3.019,0.15,no,0
24,36.1,12.1,36.7,22.6,14.1,531.5,489.5,42,1.155,782.9,2.99,0.15,no,0
24.8,36.4,11.7,35.7,22.2,13.5,543,488.5,54.5,0.882,780,2.747,0.15,no,0
24.8,35.6,10.8,35.1,21.4,13.7,535.5,499,36.5,2.18,773.6,3.929,0.15,no,0
24.7,36,11.3,33.3,21.7,11.6,536.5,500.5,36,1.458,763.1,3.191,0.15,no,0
25.1,36.3,11.3,33.5,22.1,11.4,535.5,497,38.5,1.001,751,2.792,0.15,no,0
25.6,36.7,11.1,33.5,20.4,13.1,530.5,495.5,35,1.213,743.3,2.946,0.15,no,0
25.7,36.2,10.5,32.9,19.9,13,539.5,504,35.5,1.351,733.1,3.023,0.15,no,0
25.6,36.1,10.5,33,21,12,548,503.5,44.5,1.431,722.3,3.096,0.15,no,0
25.4,36.2,10.9,33.9,21.1,12.8,544.5,509,35.5,1.191,706,2.91,0.15,no,0
25.8,36.8,11,27.9,17.8,10.1,524.5,501,23.5,1.133,686.9,2.869,0.15,no,0
25.2,35.5,10.3,26.9,18.2,8.7,525,493,32,3.058,678,4.982,0.15,no,0
25.4,35.6,10.2,27.6,17.9,9.7,527.5,489.5,38,1.503,654.2,3.141,0.15,no,0
25.6,35.7,10.2,26,17.2,8.8,525.5,479.5,46,2.103,636.8,3.796,0.15,no,0
25.1,35.1,10,26.5,18.3,8.2,528,503,25,2.709,616.6,4.519,0.15,no,0
25.3,35.1,9.8,28.6,17.8,10.8,527.5,487,40.5,1.492,590.4,3.1,0.15,no,0
24.7,34.4,9.7,27.8,18.8,9,526.5,484.5,42,2.906,566.2,4.756,0.15,no,0
24.7,34.2,9.5,30,19.2,10.8,531.5,507.5,24,1.715,534.1,3.316,0.15,no,0
24.9,34,9.2,28.2,18.9,9.3,536,495,41,1.769,504.6,3.347,0.15,no,0
24.8,33.4,8.6,28.7,18.7,10,524,486.5,37.5,1.904,471.2,3.461,0.15,no,0
24.6,33,8.4,27.4,18.3,9.1,537,502,35,2.202,443.9,3.801,0.15,no,0
24.4,32.1,7.7,23.6,16.8,6.8,522.5,501.5,21,2.368,412.8,3.96,0.15,no,0
24.1,31.3,7.2,25.4,17.5,7.9,540.5,508.5,32,2.377,380.1,3.938,0.15,no,0
23.9,30.4,6.5,26.5,18.8,7.7,528,498.5,29.5,1.685,343.1,3.038,0.15,no,0
23.7,29.8,6.1,27,19.5,7.5,531.5,497,34.5,1.519,308.2,2.819,0.15,no,0
23.5,29.1,5.7,26.4,19.2,7.2,535.5,503.5,32,1.177,274.3,2.408,0.15,no,0
23,28.5,5.5,28.6,23,5.6,538.5,507.5,31,1.224,236.5,2.441,0.15,no,0
22.2,27.6,5.4,36.6,27.9,8.7,530.5,503,27.5,1.154,197.1,2.353,0.15,no,0
17.6,23,5.5,64.6,52.2,12.4,552.5,512.5,40,0.718,315.1,1.979,0.15,no,0
17.7,23.1,5.4,64.8,50.2,14.6,546.5,531.5,15,0.753,257.6,1.999,0.15,no,0
17.6,22.7,5.1,64.7,50,14.7,572.5,533,39.5,0.776,226.8,1.975,0.15,no,0
18.1,23.5,5.5,64.4,50.6,13.8,547,529.5,17.5,1.281,297.6,2.503,0.15,no,0
19.3,26.2,6.9,61.2,46.9,14.3,544,498,46,1.237,500.3,2.599,0.15,no,0
19.5,27.2,7.8,58.4,44.7,13.7,551.5,513,38.5,0.944,505.7,2.426,0.15,no,0
20.2,28.8,8.6,58.2,41.3,16.9,553.5,506,47.5,0.966,533,2.525,0.15,no,0
20.9,30.3,9.4,55.2,38.7,16.5,532.5,504.5,28,0.463,581.2,2.294,0.15,no,0
21.5,31.3,9.8,53.7,36.4,17.3,544.5,493,51.5,1.335,600.3,2.955,0.15,no,0
21.9,31.3,9.4,52.1,34.5,17.6,548,488.5,59.5,0.935,623.9,2.574,0.15,no,0
22.7,32.3,9.6,50.4,34.3,16.1,543,501,42,1.668,643.9,3.272,0.15,no,0
22.9,32.8,10,50.6,32,18.6,545,498.5,46.5,1.248,656.4,2.888,0.15,no,0
23.1,33.2,10.1,49.2,32.1,17.1,544.5,485.5,59,2.212,657.1,3.928,0.15,no,0
23.8,34.2,10.4,47.5,30.7,16.8,540,471.5,68.5,1.56,703,3.224,0.15,no,0
23.9,34.4,10.5,46.3,29.6,16.7,532,484,48,1.904,720.3,3.599,0.15,no,0
24.5,34.1,9.7,43,27.6,15.4,543,499.5,43.5,2.541,731.4,4.295,0.15,no,0
24.6,33.9,9.3,42.3,27.5,14.8,548,497,51,2.54,741.3,4.271,0.15,no,0
24.3,34.3,10,43.4,28.7,14.7,536,487,49,1.939,753.2,3.599,0.15,no,0
24.6,34.6,10,41.5,26.4,15.1,525.5,494,31.5,2.323,753,4.047,0.15,no,0
25,34.3,9.3,39.1,26,13.1,535,495.5,39.5,3.251,753.3,5.184,0.15,no,0
25.3,34.4,9.2,38.7,26,12.7,539,495,44,2.76,760.3,4.54,0.15,no,0
25.5,34,8.5,37.4,25.4,12,542.5,496,46.5,2.925,766.4,4.717,0.15,no,0
25.6,34.2,8.6,35.5,24.2,11.3,520.5,500.5,20,2.858,760.7,4.635,0.15,no,0
25.9,34.2,8.4,35.3,24.2,11.1,532.5,489.5,43,2.523,760.6,4.191,0.15,no,0
26.3,34.4,8.1,35.6,24,11.6,525,495,30,2.829,756.1,4.568,0.15,no,0
26.2,35.2,9.1,35,23.8,11.2,542,497.5,44.5,2.528,746.7,4.24,0.15,no,0
26.3,35.5,9.2,35.4,23,12.4,527,503,24,2.259,740.9,3.916,0.15,no,0
26.9,35.8,9,34.9,23.1,11.8,548.5,490.5,58,1.89,733.6,3.466,0.15,no,0
26.8,35.5,8.7,33.2,21.9,11.3,537,500,37,2.371,725.5,4.018,0.15,no,0
27,35.4,8.4,35.8,23.7,12.1,514,498.5,15.5,2.305,712.5,3.92,0.15,no,0
26.8,35.4,8.6,34.4,22.4,12,542,496.5,45.5,2.491,688.6,4.166,0.15,no,0
26.6,34.8,8.3,33.2,22.3,10.9,542,500,42,3.283,675.6,5.173,0.15,no,0
26.5,34.8,8.3,33,22.7,10.3,520,497,23,3.284,661.1,5.176,0.15,no,0
26.2,35.3,9.1,34.6,22.8,11.8,534,499.5,34.5,2.055,638.5,3.669,0.15,no,0
26.3,36.2,9.9,35,23.1,11.9,526,499,27,1.95,608.3,3.601,0.15,no,0
26.5,35.8,9.4,34.8,22,12.8,522.5,500,22.5,1.495,581.7,3.066,0.15,no,0
26.3,35.2,9,34.9,22.1,12.8,515.5,484.5,31,2.763,558.1,4.531,0.15,no,0
26.2,34.7,8.5,34.3,22.6,11.7,529.5,489,40.5,2.518,535.1,4.194,0.15,no,0
26.2,34,7.8,34.1,22.9,11.2,527.5,498,29.5,2.167,504.7,3.715,0.15,no,0
26.2,33.6,7.4,34.3,23.4,10.9,533,503.5,29.5,3.002,476.2,4.759,0.15,no,0
26.1,33.4,7.3,34.9,24.1,10.8,531.5,482.5,49,2.962,445.2,4.699,0.15,no,0
25.3,32.9,7.6,35.8,24.7,11.1,546,511.5,34.5,2.511,412.3,4.132,0.15,no,0
25.3,32.2,7,36.3,25,11.3,527.5,483,44.5,3.439,380.7,5.322,0.15,no,0
24.9,31.1,6.2,36.1,25.9,10.2,533,496.5,36.5,3.663,349.6,5.593,0.15,no,0
24.8,30.4,5.6,37.3,27.1,10.2,533,493.5,39.5,2.923,318.4,4.555,0.15,no,0
24.6,29.8,5.2,37,27.2,9.8,523.5,493,30.5,2.465,289.1,3.924,0.15,no,0
24.2,29,4.9,36.9,27.8,9.1,528,503.5,24.5,2.795,262.1,4.342,0.15,no,0
23.8,28.3,4.5,38.1,29.6,8.5,544.5,503.5,41,2.757,227.6,4.272,0.15,no,0
23.5,27.7,4.2,39,30.1,8.9,524,507.5,16.5,2.317,203.7,3.661,0.15,no,0
21,26.9,5.9,56.5,45.8,10.7,540.5,497,43.5,1.279,397.5,2.546,0.15,no,0
21.3,27.6,6.3,50.6,41.7,8.9,532,468.5,63.5,2.011,432.8,3.425,0.15,no,0
20.9,26.6,5.7,49.7,39.3,10.4,529.5,498.5,31,2.661,372.8,4.215,0.15,no,0
21.5,26.9,5.4,48.4,39,9.4,525,492.5,32.5,2.839,430.1,4.436,0.15,no,0
22,27.6,5.6,46.9,38.4,8.5,523.5,482,41.5,3.059,483.6,4.744,0.15,no,0
22.6,28.7,6.2,45.3,35.9,9.4,523,485.5,37.5,3.919,595.9,5.946,0.15,no,0
22.9,29.5,6.6,46.1,35,11.1,528,479,49,3.618,587.5,5.553,0.15,no,0
23,30.1,7.1,44.7,34.2,10.5,517,479,38,3.126,533.4,4.91,0.15,no,0
23.5,30.5,7.1,45.5,32.9,12.6,527.5,491.5,36,2.944,619.2,4.667,0.15,no,0
24,32,8,42.8,30.7,12.1,530.5,476.5,54,2.611,703.5,4.282,0.15,no,0
24.5,32.6,8.1,43.5,30.8,12.7,524,486.5,37.5,2.563,717,4.23,0.15,no,0
24.6,32.9,8.3,40.8,29.3,11.5,524,478.5,45.5,3.114,671.3,4.954,0.15,no,0
24.9,33.5,8.7,39.5,28,11.5,526.5,476,50.5,3.379,733.7,5.323,0.15,no,0
24.5,32.7,8.2,39.2,27.2,12,513.5,500,13.5,2.455,624.6,4.097,0.15,no,0
24.7,32.6,7.9,40.8,28.7,12.1,533,479,54,2.74,536,4.444,0.15,no,0
25,32.7,7.7,39.2,27,12.2,516,476,40,3.389,782.7,5.29,0.15,no,0
23.8,30.2,6.4,40.6,29.5,11.1,525,497.5,27.5,4.537,437.4,6.814,0.15,no,0
23.2,28.3,5.1,40.5,30.9,9.6,522,496,26,3.776,328.7,5.701,0.15,no,0
23.7,28.9,5.2,41.6,32.1,9.5,509.5,484.5,25,3.78,559.5,5.71,0.15,no,0
23.8,29.7,5.9,41,29.7,11.3,513,485.5,27.5,4.139,720.2,6.238,0.15,no,0
24.4,30.9,6.6,40.6,29.6,11,514.5,484.5,30,3.494,698.9,5.378,0.15,no,0
25,31.7,6.7,38.5,27.1,11.4,515.5,487,28.5,3.636,757.2,5.579,0.15,no,0
25.1,32,6.9,39.3,28.2,11.1,533.5,480,53.5,3.795,769.5,5.804,0.15,no,0
25.4,32.9,7.5,36.9,26.5,10.4,507.5,481.5,26,3.154,795.2,4.967,0.15,no,0
25.5,32.8,7.4,36.4,25.6,10.8,524.5,483,41.5,4.033,740.8,6.15,0.15,no,0
24.9,31.6,6.8,38.5,27.9,10.6,534.5,498.5,36,3.626,605.5,5.569,0.15,no,0
24.9,32.8,7.9,38.9,27.5,11.4,528.5,491.5,37,3.411,709.2,5.328,0.15,no,0
25,32.5,7.5,37.7,25.6,12.1,513,497,16,4.187,744.7,6.37,0.15,no,0
25.4,31.9,6.5,36.2,26.9,9.3,523.5,492,31.5,4.386,653.6,6.607,0.15,no,0
25.7,33.2,7.5,36.6,26.2,10.4,535.5,482.5,53,2.723,725,4.398,0.15,no,0
25.4,33.4,8.1,36.3,25,11.3,525,495,30,3.182,696.6,5.03,0.15,no,0
25.5,32.8,7.3,37.2,25.4,11.8,544,494.5,49.5,3.988,678.4,6.086,0.15,no,0
25.4,33,7.7,36.8,26.7,10.1,517.5,492.5,25,3.717,656.9,5.731,0.15,no,0
24.9,33.9,9,37.1,25.3,11.8,525,484.5,40.5,3.024,638.2,4.873,0.15,no,0
25,34.3,9.4,37.7,24.8,12.9,525,498.5,26.5,3.11,616.6,5.003,0.15,no,0
25.3,33.8,8.5,37.6,25.2,12.4,539,480,59,2.808,590,4.563,0.15,no,0
